"g","network","site","mean_final_mut_mat","mutualism","m_A","m_B","alpha","phi","theta_A","theta_B"
0,"PP_Santos_etal_2010_bin","B",0.767985234788412,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Vazquez_etal_2002_ArroyoGoye_bin","A",0.800537528430858,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Vazquez_etal_2002_ArroyoGoye_bin","B",0.79951519745169,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Vazquez_etal_2002_CerroLopez_bin","A",0.805869720795783,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Vazquez_etal_2002_CerroLopez_bin","B",0.813595613382117,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Vazquez_etal_2002_Mascardi(c)_bin","A",0.806375458256601,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Vazquez_etal_2002_Mascardi(c)_bin","B",0.804081644390454,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AE_Rico-Gray_benito_bin","A",0.798053274530086,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AE_Rico-Gray_benito_bin","B",0.79876421085193,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AE_Rico-Gray_mancha_bin","A",0.789000603659163,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AE_Rico-Gray_mancha_bin","B",0.793540358446357,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AE_Rico-Gray_zapo_bin","A",0.794442401100739,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AE_Rico-Gray_zapo_bin","B",0.799161410566585,"AE",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AM_Izzo_mtcDIM100_bin","A",0.878278231703776,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AM_Izzo_mtcDIM100_bin","B",0.869304114257731,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AM_Izzo_mtcFLO_bin","A",0.847886850224867,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AM_Izzo_mtcFLO_bin","B",0.853910402170105,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
0.025,"AM_Izzo_mtcPA10_bin","A",0.881490027543354,"AM",0.7,0.7,0.05,0.5,"0-10","10-20"
